clean,hashtags,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
trump concern personal profit brand favors others trade needs people,"['Trump', 'concern', 'profit', 'brand', 'favors', 'US', 'people']",1,0,1,0,0,0,0,0,0,0,0
shame cashback mbna amexuk credit card comes end used look forward end year bonus sad really cashback,['cashback'],0,0,1,0,0,0,0,0,1,0,0
3lectric5heep well must sting cnn,[],1,0,0,1,0,0,0,0,1,0,0
thought bad driver went college relieved,['relieved'],0,0,0,0,1,0,1,0,1,0,0
posted snap dad someone thought grandmother crying,['crying'],1,0,0,0,0,0,0,1,1,0,0
brighten gloomy day siennaxofficial spray tan tan suit everybody spraytan tan summer godalming hurtmore,"['spraytan', 'tan', 'summer', 'godalming', 'hurtmore']",0,0,0,0,1,0,1,0,0,0,0
head hurting facewithsteamfromnose,[],0,0,1,0,0,0,0,0,1,0,0
virtualalien frightening things life\n\n beyondthesphereofreasonabledoubt,"['frightening', 'BeyondTheSphereOfReasonableDoubt']",1,0,1,1,0,0,0,1,0,0,0
feel exhausted \ni tried good job apparently god see right weary exist worriedface brokenheart loudspeaker exist weary misonorotta,"['exist', 'weary', 'misonorotta']",0,0,1,1,1,0,0,1,1,0,0
skh4808 theveteran425fa tomilahren wait start getting pissy,[],1,0,1,0,0,0,0,0,0,0,0
started depression amp anxiety shits suicide thoughts bad thoughts thts hugging night,[],0,0,0,1,0,0,0,1,1,0,0
rickhoffman grateful perseverance happy anniversary twin,[],0,0,0,0,1,1,1,0,0,0,0
could hundred million followers still genuine person understands wants cantshakethis sadness,"['cantshakethis', 'sadness']",0,0,0,0,0,0,0,1,1,0,0
obama 250 offices organizing action teaches theresistance protesting civildisobedience treason lockhimup ofa,"['TheResistance', 'protesting', 'civildisobedience', 'treason', 'LOCKHIMUP', 'OFA']",1,0,1,0,0,0,0,0,0,0,0
ever tired second kid put top upsidedownface workmom grateful,"['workmom', 'grateful']",0,0,0,0,1,0,1,0,0,0,0
oteraw unhappy unfulfilled facewithtearsofjoy,[],0,0,0,0,0,0,0,1,1,0,0
ask snapchat pussy cock horny cum wet tits follow,"['snapchat', 'pussy', 'cock', 'horny', 'cum', 'wet', 'tits', 'follow']",0,1,0,0,1,0,1,0,0,0,0
israel recent overtures towards west africa seems attracting elements suspicion unnecessary suspicion though,[],0,1,0,1,0,0,0,0,0,0,0
scottadamssays broke snap great analysis cnbc,"['snap', 'CNBC']",0,0,0,0,1,0,0,0,0,0,1
certain arrogance think fine never lose respect others,"['arrogance', 'respect']",0,0,1,0,0,0,1,0,0,0,0
smile happy smile,"['happy', 'smile']",0,0,0,0,1,1,1,0,0,0,0
5000 new citizens swearing tears congratulations,"['citizens', 'tears', 'congratulations']",0,0,0,0,1,0,1,0,0,0,0
said–due passing 50yr mark awhile ago–i know horrific damage planet occur natural death,"['horrific', 'planet', 'death']",0,0,0,1,0,0,0,0,1,0,0
every time log website view lindsey vonn pics saddened courseness culture,['saddened'],0,0,1,0,0,0,0,0,1,0,0
believe lost phone get home,[],1,0,1,0,0,0,0,1,1,0,0
novak seeing balls melons perfect conditions smilingfacewithsmilingeyes wimbledon,['Wimbledon'],0,0,0,0,1,1,1,0,0,0,0
gracious god soul takes refuge shadow wings take refuge psalm 571 hope jesus joy,"['refuge', 'refuge', 'hope', 'jesus', 'joy']",0,0,0,0,1,0,1,0,0,0,0
this one \na bit odd looking pointy alien asked \nperhaps wonderful steve pile vss365,"['wonderful', 'vss365']",0,0,0,0,1,0,1,0,0,1,0
probably watching sad bts video sad iwannacryy halppp,[],0,0,0,0,0,0,0,1,1,0,0
phobia irrational fear aversion something synonyms dread horror terror dislike distaste aversion crime,['phobia'],1,0,1,1,0,0,0,1,0,0,0
dangermclovin well done grinningface twins charlii cadance,[],0,0,0,0,1,0,0,0,0,0,0
theieansquad satanheavenly rap unbearable horrific,[],1,0,1,1,0,0,0,0,1,0,0
actually watch drugs destroy entire family cryingface mother skid row oldest daughter lost child father estranged horrific,['horrific'],1,0,1,1,0,0,0,1,1,0,0
always bounce back life goes mani refuse sulk negativity yesterday problems always new day huggingface,[],0,0,0,0,1,0,1,0,1,0,0
sophieathertonn lillynewtonx actually awful treat get home tho,[],1,1,1,0,0,0,0,0,0,0,0
mashable reason filled delight see auntie laugh,[],0,0,0,0,1,0,1,0,0,0,0
good morning happy tuesday hope terrific day enjoy tons grinningfacewithbigeyes,[],0,0,0,0,1,1,1,0,0,0,0
long connor9mcintyre cryingface cryingface cryingface phelan brilliance,"['Phelan', 'brilliance']",0,1,0,0,1,0,0,0,1,0,0
saw first larsen trap today stressed magpie never ever want see angry distressed wildlife,"['angry', 'distressed', 'wildlife']",1,0,1,0,0,0,0,0,0,0,0
nextofficial placed order nearly grand six weeks ago called yesterday order missing call back today shocking,['shocking'],1,0,1,0,0,0,0,0,0,1,0
happy played tgt team thought would another chance sadly rest peace dear friend,[],0,0,0,0,0,0,0,0,1,0,0
obviously moved music robertcrayband tonight wanted share love blues concert,"['blues', 'concert']",0,0,0,0,1,1,1,0,0,0,0
excuse making mistakes twice live amp learn deal consequences unhappy truthbomb,['truthbomb'],1,0,1,0,0,0,0,0,0,0,0
god match dull wimbledon,['Wimbledon'],0,0,1,0,0,0,0,0,1,0,0
kitchenaidusa spent 500 mixer yet dough hook chips dough buy new one thing happens unhappy,['unhappy'],1,0,1,0,0,0,0,0,1,0,0
someone needs start listening ossokxly allstargame2017 ideas brilliant 700espn,"['AllStarGame2017', 'brilliant']",0,0,0,0,0,0,1,0,0,0,0
shojopower yes animated comic book movies,[],0,0,0,0,1,0,0,0,0,0,0
holding anger like drinking poison expecting person die\n kissableslovesmshopmag\nalloutdenimfor kissmarc,['KissablesLoveSMShopmag'],1,1,1,0,1,0,1,0,0,0,0
byunsolo ask either happened facewithsteamfromnose,[],1,1,0,0,0,0,1,0,1,1,0
mrjamesob lbc facewithtearsofjoy snowflake random funny man never dull moment brilliant,[],0,0,0,0,1,0,0,0,0,0,0
fuck small talk tell age start disappointing parents,[],1,0,1,0,0,0,0,0,0,0,0
replace loss hope hate love pain gain close window bitterness open doors faith tryit,"['loss', 'hope', 'hate', 'love', 'pain', 'gain', 'bitterness', 'faith', 'TryIt']",0,0,0,0,0,1,1,0,0,0,1
worse feeling discouraged finding emoji feeling discouraged,[],1,1,1,0,0,0,0,0,1,0,0
different approach today london town amp sharonsatkinson chatted good fashioned natter cannotbeatachat talking laughing,"['cannotbeatachat', 'talking', 'laughing']",0,0,0,0,1,1,1,0,0,0,0
spina bifida neural tube birth defect nervous system amp spinal cord fully develop raredisease june awareness,"['Spina', 'Bifida', 'neural', 'tube', 'birth', 'defect', 'nervous', 'system', 'spinal', 'cord', 'raredisease', 'June', 'awareness']",0,0,0,1,0,0,0,0,0,0,0
happy birthday olympic great champ jordynwieber partypopper birthdaycake balloon,"['Olympic', 'great', 'champ']",0,0,0,0,1,1,0,0,0,0,0
everybody seem serious,[],0,1,0,0,0,0,0,0,0,1,0
sold next batch days,[],0,1,0,0,1,0,0,0,0,0,0
presume richness poorness bring happiness santosh kalwar quote mentalhealth psychology depression anxiety,"['quote', 'mentalhealth', 'psychology', 'depression', 'anxiety']",0,0,0,1,0,0,0,0,1,0,0
could talking catfish tinder persontippinghand facewithtearsofjoy glad use seriously rollingonthefloorlaughing,[],0,0,0,0,1,0,0,0,0,0,0
1720maryknoll fuming kenny,['fuming'],1,0,1,0,0,0,0,0,0,0,0
jesus truth psalms 3211 righteous glad rejoice lord done obey shout joy,"['Jesus', 'truth']",0,1,0,0,1,0,1,0,0,0,0
hope youngins mentalhealth balance crucial existence sustenance lifenot much sad albeit wish happy perpetual rollingonthefloorlaughing,"['Hope', 'youngins', 'mentalHealth', 'happy']",0,1,0,0,1,0,1,0,0,0,0
best thing cooking eggs even original idea work still got scrambled eggs optimism,['optimism'],0,0,0,0,1,0,1,0,0,0,1
offended lol,[],1,0,1,0,1,0,0,0,0,0,0
also billion opiod crisis pennies complete joke almost hilarious billion high risk pools itll dryupquick,['dryupquick'],0,0,1,0,0,0,0,1,0,0,0
way always twitter work little alarming womanfacepalmingmediumdarkskintone,[],0,1,0,1,0,0,0,0,0,0,0
jesskardashian trevschan2 awesome people missing watching fear,[],0,1,0,0,1,0,0,0,0,0,0
hasegawasona big toothy smile wiggles,[],0,0,0,0,1,0,1,0,0,0,0
rachelkennedy84 callummay neddonovan jeyylowe jimwaterson dats bell ringing incense consecration,[],0,1,0,0,0,0,0,0,0,1,0
got builders office game make perhaps ill start sketching next game gamedev indiedev,"['gamedev', 'indiedev']",0,1,0,0,1,0,1,0,0,0,0
mood happy slightlysmilingface blessing,['blessing'],0,0,0,0,1,1,1,0,0,0,0
wait perform 2nite crashtestcomedy verns yyc calgary comedy comedian yyccomedy calgarycomedy fun laughs live,"['Verns', 'yyc', 'Calgary', 'comedy', 'comedian', 'yycComedy', 'CalgaryComedy', 'fun', 'laughs', 'live']",0,1,0,0,1,0,1,0,0,0,0
things scare thunder needles cats creepy dolls heights edges summerthunder fears ikitsweird,"['summerthunder', 'fears', 'ikitsweird']",0,0,0,1,0,0,0,0,0,0,0
loiuselinton become female martinshkreli hated woman america takes skill entitlement notcute,"['LoiuseLinton', 'MartinShkreli', 'entitlement', 'notcute']",0,0,1,0,0,0,0,0,0,0,0
hopkinsville total eclipse capital world august 2017 dancing moon dark eclipse2017 eclipseacrossamerica edgar cayce,"['Hopkinsville', 'Ky', 'total', 'eclipse', 'capital', 'world', 'August', 'dancing', 'moon', 'dark', 'eclipse2017', 'EclipseAcrossAmerica', 'Edgar', 'Cayce']",0,0,0,0,1,0,0,0,0,0,0
today interesting first panic attack might need something,['panic'],0,0,0,1,0,0,0,0,0,0,0
dmme kikme sext horny ass bbw naughty pussy kik nudes girls wearyface horny snap jacobgigs,"['dmme', 'kikme', 'sext', 'horny', 'ass', 'bbw', 'naughty', 'pussy', 'kik', 'nudes', 'snap']",0,0,0,0,1,0,0,0,1,0,0
lost weight appear smaller pissed facewithrollingeyes,[],1,0,1,0,0,0,0,0,1,0,0
beautifuibaek wow hope win loudlycryingface thanks smilingfacewithsmilingeyes,[],0,1,0,0,1,1,1,0,0,0,0
announcing late hard make manchester organising day sad,['sad'],0,0,0,0,0,0,0,0,1,0,0
theellenshow follow show keeps laughing rollingonthefloorlaughing startle guest sitting couch booo,['startle'],0,0,0,0,1,0,1,0,0,0,0
wyoming beautiful state road signs lack thereof terrible lost,"['Wyoming', 'lost']",1,0,1,0,0,0,0,0,0,0,0
talk incompetent person goes one ear irritated nopoint massiveeyeroll,"['irritated', 'NoPoint', 'MassiveEyeRoll']",1,0,1,0,0,0,0,0,0,0,0
world know difference drunk sober one word coherence,"['World', 'drunk', 'sober', 'Coherence']",0,1,0,0,1,0,1,0,0,0,0
united airline newark needs kiosks people miss cut time hire ppl horrible,['horrible'],1,0,1,0,0,0,0,0,0,0,0
jesus drank cup wrath deserve dry might drink deeply cup salvation eternally satisfies hab 215,[],0,0,0,0,0,0,0,0,0,0,0
loss loss lesson smile,['smile'],0,0,0,0,1,0,1,0,0,0,0
gautamravi168 vijatta ranaayyub may driven bus terror hiding,[],0,0,0,0,0,0,0,0,0,0,0
shy firstit usually takes minutes assess jaw people hanging act according womanshruggingmediumskintone,[],0,1,0,0,0,0,1,0,0,0,0
jeong easy get along everybody likes intimidated him like him reminds seunghoon,[],0,0,0,0,1,0,0,0,0,0,1
outside basically become horror movie gypsy moths take world flitting aggressively about\n\n creaturedoublefeature,['creaturedoublefeature'],0,0,0,1,0,0,0,0,0,0,0
parkermolloy kfile misleading heading mention agenda driven article,[],0,1,1,0,0,0,0,0,0,0,0
anxious know worry facewithoutmouth slowly going mad hahahahahahahahaha,"['anxious', 'worry', 'mad']",0,0,0,1,1,0,0,0,0,0,0
mus allow bitterness anger make hearts infertile god gifts,[],1,0,0,0,1,0,1,0,0,0,0
feel intimidated,[],0,0,1,1,0,0,0,0,1,0,0
beautinasuit need thank telling like smilingfacewithsmilingeyes hope great day grinningfacewithbigeyes,[],0,0,0,0,1,0,1,0,0,0,0
joshuarozenberg dear tantrums,['tantrums'],1,0,1,1,0,0,0,0,0,0,0
judicialwatch shake operation,[],0,1,0,0,0,0,0,0,0,1,0
must goblin rains every time effin sad lol,[],0,0,0,0,1,0,0,0,1,0,0
still devastated sad tariq tariqlive channel professorblacktruth well youtubefail epicfail tariqnasheed cryingface,"['devastated', 'sad', 'Tariq', 'TariqLive', 'ProfessorBlackTruth', 'YouTubeFAIL', 'EpicFAIL', 'TariqNasheed']",1,0,0,0,0,0,0,0,1,0,0
maybe joey ignored tinder posted social media trip hawaii frowningface bitter,['bitter'],1,0,1,0,0,0,0,0,0,0,0
britmerc69 stop discourage people seenoevilmonkey,[],1,0,1,0,0,0,0,0,1,0,0
threaten leave girl shaking wet spot,[],1,0,1,0,0,0,0,0,0,0,0
buddh rohitmhpl indujalali rajnathsingh also wating terrorism willb history one thing kashmir india,[],1,0,1,1,0,0,0,0,0,0,0
teapainusa creating tomorrow headline dontgetdistracted russiancollusion partofhisplan trumprussia impeachorresign,"['dontgetdistracted', 'RussianCollusion', 'Partofhisplan', 'TrumpRussia', 'ImpeachOrResign']",1,1,0,0,0,0,1,0,0,0,0
michealarroyo2 nope thanks though took yrs find hubby great makes life great really awesomeness,['awesomeness'],0,0,0,0,1,1,0,0,0,0,0
wizkidayo bro dey burst brain bro need pls end everything rift btw hommie davido pls bro sake luv,[],0,1,0,0,1,1,0,0,0,0,0
edit photos spnfamily samwinchester jaredpadalecki lips tease,"['SPNFamily', 'SamWinchester', 'JaredPadalecki', 'lips', 'tease']",0,1,0,0,0,0,0,0,0,0,0
come conclusion online world seriously fucked absolutely words describe bleak grim,"['bleak', 'grim']",1,0,1,0,0,0,0,0,1,0,0
worst dreams sadbutrelievedface,[],0,0,0,1,0,0,0,0,1,0,0
idea 171 privacy vital could start privacy service,"['Privacy', 'vital', 'start', 'service']",0,1,0,0,0,0,1,0,0,0,0
one greathorrible moments professor seeing wonderful student leaving university pursue hisher true passion,[],0,0,0,0,1,0,0,1,1,0,0
foodfromthesky curious happened growing space crouch end empty,[],0,1,1,0,0,0,0,0,0,1,0
joysparklebs able sit much solid info others came ready kill true sign strength inspiring,['inspiring'],0,0,0,0,1,1,1,0,0,0,0
today first time playing ffxii happy zodiacage,['Zodiacage'],0,0,0,0,1,0,1,0,0,0,0
time bed real bed four nights camping bliss,['bliss'],0,1,0,0,1,0,1,0,0,0,0
lesson kevinhart4real book apply life always choice kev grimey things happen amp chose optimism,"['lesson', 'book', 'life', 'chose', 'optimism']",0,0,0,0,1,0,1,0,0,0,0
glad baby hear thinking,"['glad', 'baby', 'thinking']",0,0,0,0,1,0,1,0,0,0,0
duthie carabaocup lets mention qprvbre,['QPRvBRE'],1,0,1,0,0,0,0,0,1,0,0
paul ehrlich said humanity threat life great news start day could blush would,[],1,0,1,0,0,0,0,0,1,0,0
fall season starts today,[],0,1,0,0,1,0,1,0,0,0,1
terrorism religion terrorise name religion say terrorism religion bcoz terror beamingfacewithsmilingeyes beamingfacewithsmilingeyes beamingfacewithsmilingeyes,"['Terrorism', 'terror']",0,0,0,1,0,0,0,0,0,0,0
azizansari finished season masterofnone gifted storyteller charming cinematography hilarious,"['MasterofNone', 'charming', 'cinematography', 'hilarious']",0,0,0,0,1,0,1,0,0,0,0
mean wanted goats faint wanted see goats faint eclipse,['eclipse'],0,0,0,0,1,0,1,0,1,0,0
sure tequila shots family birthday meal best ideas ever grim,['grim'],0,0,1,0,0,0,0,0,1,0,0
aksongstress one finest energetic dancehall act blessing disguise foldedhands prolific foldedhands,"['dancehall', 'blessing']",0,0,0,0,1,0,0,0,0,0,0
ugh wrong today feel absolutely dreadful downcastfacewithsweat wonder fighting something roll home time,[],0,0,1,1,0,0,0,0,1,0,0
imaorangepeeler imagine walking sober winkingface,[],0,1,0,0,1,0,1,1,0,0,0
idk help someone smile comes lips\n\n thatisall ieverwant noneeds justyou love peace smiling faces kindness,"['thatisall', 'ieverwant', 'noneeds', 'justyou', 'love', 'peace', 'smiling', 'faces', 'kindness']",0,0,0,0,1,1,1,0,0,0,0
wait lawrence friend dragged fuck outta,[],1,0,1,0,0,0,0,0,0,0,0
media focused bad news forget much greatgood things happen daily thinkpositive goodnews optimism goodmorning,"['Thinkpositive', 'goodnews', 'optimism', 'goodmorning']",0,0,0,0,1,0,1,0,0,0,1
people shady,[],1,0,1,0,0,0,0,1,0,0,0
smiling close tears,[],0,0,0,0,1,0,1,0,1,0,0
difficulties bracing mind overcome assist cheerfulness exercise assists digestion\nchristian nestell bovee quotes,['quotes'],0,0,0,0,1,0,1,0,0,0,0
anxiety pays,[],0,0,0,1,0,0,0,1,0,0,0
quick note insta stories expect read paragraph caption second,[],1,0,1,0,0,0,0,0,0,0,0
disarmed equipment suspicion potential accomplice annie leonhart,[],0,0,0,0,0,0,0,0,0,0,0
listen golden brown giving life hell feet get dark downcastfacewithsweat,[],1,0,0,0,0,0,0,0,1,0,0
mysarazaman makes selfish disheartened,[],1,0,1,0,0,0,0,1,1,0,0
zineetar rusembusa mfarussia hatred fear many russians anything nonrussian sad,[],0,0,1,1,0,0,0,0,1,0,0
timmyldn looks dreadful eyes,[],0,0,0,1,0,0,0,0,0,0,0
fucking tag pictures family first cut years ago one,[],1,0,1,0,0,0,0,0,0,0,0
kid camp said inner thigh looked like slinky okhand rollingonthefloorlaughing buddy stretch marks summercamp offended,"['SummerCamp', 'offended']",1,0,1,0,0,0,0,0,0,0,0
would think booking holiday sat next bloody plane fuming poutingface thomsonholidays,['fuming'],1,0,0,0,0,0,0,0,0,0,0
leahremini religion pushes people suicide punishes right thing heartbreaking,['heartbreaking'],1,0,1,0,0,0,0,1,1,0,0
building shell command server combining user input executing shell client shudder,['shudder'],0,0,0,1,1,0,0,0,0,0,0
shooting ever making mistakes ever jumped pool sharks long time ago relentless resilient,"['relentless', 'resilient']",0,1,0,0,0,0,1,0,0,0,0
groovy restaurant got cheeseburger fries discriminate rating yummy delicious politicallycorrect,"['yummy', 'delicious', 'politicallycorrect']",0,0,0,0,1,1,0,0,0,0,0
newsbykatherine jonkarl abc guy sound astounded anyone working trump ethical moral values seenoevilmonkey hearnoevilmonkey speaknoevilmonkey,[],1,0,1,0,0,0,0,1,0,1,0
ginoceno great prediction bro nice optimism fakefan,['FAKEFAN'],0,0,0,0,1,0,1,0,0,0,0
add snap whoajay snap streaks snapchat story friends add follow love traveling photography funny,"['snap', 'streaks', 'snapchat', 'story', 'friends', 'add', 'follow', 'love', 'traveling', 'photography', 'funny']",0,0,0,0,1,0,0,0,0,0,0
wow brocklesnar awesome man fatalsway summerslam wwe wrestling champ,"['awesome', 'FatalsWay', 'SummerSlam', 'WWE', 'wrestling', 'champ']",0,1,0,0,1,0,1,0,0,0,0
theview joy comedian bully fat shaming governor great example setting grandson,[],1,0,1,0,0,0,0,0,1,0,0
cnn thanks hollywood depp climate change fanatics using private jets gas guzzling cars blame outrage,['outrage'],1,0,1,0,0,0,0,0,0,0,0
mailsport stunningly bad horrible,['horrible'],1,0,1,1,0,0,0,0,1,0,0
caseydellacqua ashbar96 cheering caseydellacqua ashbar96,[],0,0,0,0,1,0,0,0,0,0,0
could happier life right smilingfacewithsmilingeyes,[],0,0,0,0,1,0,1,0,0,0,0
amelia want sarah grateful cbb,['CBB'],0,0,0,0,1,0,1,0,0,0,0
kylegriffin1 disgusting sick,['sick'],1,0,1,0,0,0,0,0,0,0,0
jonlovett said hilarious smart lovett leave brilliant please come live show florida,[],0,0,0,0,1,1,1,0,0,0,0
kids street msn something play instead enjoying outside bitter shush,"['bitter', 'shush']",1,0,1,0,0,0,0,0,1,0,0
banished sadness way somber,['somber'],0,0,0,0,0,0,0,1,1,0,0
like itos manga end bleak hopeless endings way make look like protagonist lost,[],1,0,1,0,1,0,1,0,0,0,0
ugly guy whos pleasant geuine happy evil attractive guy whos bitter coniving superficial,[],0,0,0,0,1,0,1,0,0,0,0
know speed light speed dark,"['speed', 'light', 'dark']",0,1,0,0,0,0,0,0,0,0,0
happy accepted chromesthesia cbt doctress never called crazy colors,"['happy', 'chromesthesia', 'CBT', 'colors']",0,0,0,0,1,0,1,0,0,0,1
1if church attacked fury inside means church exactly need belong,[],1,0,0,0,0,0,0,0,0,0,0
airishcloudly aaww iam sending virtual hug eonnie cares cheer study well,[],0,0,0,0,1,1,1,0,0,0,0
eat end term chocolates bought well fuming doesntdeservethem mightbedead,"['fuming', 'doesntdeservethem', 'mightbedead']",1,0,0,0,0,0,0,0,0,0,0
never heard caracaraoranges today tasty highly recommend delicious goodforyou fruits oranges,"['CaraCaraOranges', 'tasty', 'delicious', 'GoodForYou', 'fruits', 'oranges']",0,0,0,0,1,1,1,0,0,0,0
bright cold day april clocks striking thirteen george orwell 1984,[],0,0,0,0,1,0,0,0,0,0,0
freemanstanzan2 cowan means slimebag would trust far could throw arsehole stuartharker1,['arsehole'],1,0,1,0,0,0,0,0,0,0,0
edinburgh fucked\nthis city nightmare drive round confoundedface \none ways bus lanes cameras feckin trams idea,[],1,0,1,0,0,0,0,0,0,0,0
laurenwils0n happy birthday gorg good one faceblowingakiss,[],0,1,0,0,1,1,1,0,0,0,1
believe zain starting secondary year cryingface,[],0,0,0,0,0,0,0,0,1,1,0
pessimist complains wind optimist expects change realist adjusts sails,[],0,0,0,0,1,0,1,1,0,0,0
austinjpowers iambumface r9rai holbornlolz absolutely shocking behavour,[],1,0,1,1,0,0,0,0,0,1,0
roryplays busy yesterday forgot wish happy birthday got happy belated birthday hope wonderful day,[],0,0,0,0,1,1,1,0,0,0,0
part roof bar driver side stolen grand vitara cars let known really disheartening brunei,"['disheartening', 'brunei']",0,0,1,0,0,0,0,0,1,0,0
hit sudden wave sadness,[],0,0,0,0,0,0,0,0,1,0,0
hit blessed facewithtearsofjoy,[],1,0,0,0,1,0,0,0,0,0,0
nerang intruder alarm activated 20170711 192805,[],0,1,0,0,1,0,1,0,0,0,0
candycmarketing happens want watch content vote grinningsquintingface,[],1,1,0,0,0,0,0,0,0,0,0
hiya everyone want please retweet pin help romance wattpad hurt tweet twitter thanks,"['retweet', 'rt', 'help', 'romance', 'wattpad', 'hurt', 'tweet', 'twitter', 'thanks']",0,1,0,0,1,0,0,0,0,0,0
mint owls often indignant,[],0,0,0,0,0,0,0,0,0,0,0
nancypelosi mean bush trump bush giggles hipocrite liar troublemaker antifasupporter,"['giggles', 'hipocrite', 'Liar', 'TroubleMaker', 'AntifaSupporter']",0,0,1,0,0,0,0,0,0,0,0
whenever turn radio hear bob dylan knocking heaven door played assume died relieved notyet someday,"['relieved', 'notyet', 'someday']",0,0,1,0,0,0,0,0,0,0,0
markwontusethis pine love one day crabbe,[],0,0,0,0,0,1,0,0,1,0,0
please stop ruining depressing memes positivity optimism,[],0,0,0,0,1,0,1,1,1,0,0
raggastorm red dread love,"['red', 'dread']",0,1,0,0,1,1,0,0,0,0,0
jackruff4 horrible pudding butterscotch pudding mondays dreadful fringe,['Fringe'],1,0,1,0,0,0,0,0,1,0,0
despair mouth foaming hostility amp dishonesty leave camp amp expose,[],1,0,1,0,0,0,0,0,1,0,0
juliahb1 talkradio culture amp language already protected\n£ promoting welsh better spent tourism dreadful schools record,[],1,0,1,0,0,0,0,0,0,0,0
praddy06 sir need umbrella today evening sun seems stronger pave way clouds worriedface,[],0,1,0,0,1,0,0,0,0,0,0
imagine many ksones crying right getting tickets loudlycryingface meanwhile isones dont even get chance war tickets loudlycryingface,[],0,0,0,0,0,0,0,0,1,0,0
remember identity christ give sting rejection christ done scars prove,[],0,0,0,1,0,0,1,0,0,0,1
whiskurmew happy birthday beautiful hope today lovely wonderful astounding deserve less smilingfacewithsmilingeyes partypopper birthdaycake revolvinghearts,[],0,0,0,0,1,1,1,0,0,0,0
miserable ass weather loudlycryingface dark gloomy depressing weekoff wheresthesun,"['depressing', 'weekoff', 'wheresthesun']",1,0,1,0,0,0,0,0,1,0,0
goals appearances last season mckay holt windass simply horrific get midfield balance sorted team fire,[],1,0,0,0,0,0,1,0,0,0,0
people honk like idiots culture less indisciplined traffic india backtoreality nightmare,"['honk', 'idiots', 'Traffic', 'india', 'backtoreality', 'nightmare']",1,0,1,0,0,0,0,0,0,0,0
received fantastic news next bed sui generis hmo full planning permission build start september excited,['excited'],0,0,0,0,1,0,1,0,0,0,0
kind tired everything summer heat bicycle videogames bookwriting nothavingacomputer,"['summer', 'heat', 'bicycle', 'videogames', 'bookwriting', 'nothavingacomputer']",1,0,1,0,0,0,0,1,1,0,0
wan sober,[],0,0,0,0,0,1,1,0,0,0,0
